recorded_at,model,input_tokens,output_tokens,total_tokens,history_messages,tool_use_count,stop_reason
2026-04-10T15:00:17.190285+00:00,anthropic/claude-sonnet-4.6,14801,454,15255,21,0,end_turn
2026-04-12T19:30:39.773453+00:00,anthropic/claude-sonnet-4.6,12505,171,12676,15,0,end_turn
2026-04-12T19:30:34.692406+00:00,anthropic/claude-sonnet-4.6,11667,774,12441,13,1,tool_use
2026-04-12T20:29:40.070873+00:00,anthropic/claude-sonnet-4.6,12083,235,12318,21,0,end_turn
2026-04-12T19:21:35.594703+00:00,anthropic/claude-sonnet-4.6,11461,323,11784,9,0,end_turn
2026-04-10T14:11:25.569381+00:00,anthropic/claude-sonnet-4.6,11322,287,11609,9,0,end_turn
2026-04-10T15:00:08.418137+00:00,anthropic/claude-sonnet-4.6,11295,59,11354,19,1,tool_use
2026-04-10T15:00:05.140496+00:00,anthropic/claude-sonnet-4.6,11207,60,11267,17,1,tool_use
2026-04-10T15:00:02.558568+00:00,anthropic/claude-sonnet-4.6,11108,74,11182,15,1,tool_use
2026-04-10T14:11:14.973762+00:00,anthropic/claude-sonnet-4.6,9369,1507,10876,7,6,tool_use
2026-04-10T10:34:59.247197+00:00,anthropic/claude-sonnet-4.6,9772,242,10014,5,0,end_turn
2026-04-05T23:17:45.454341+00:00,qwen/qwen3.6-plus:free,6827,1855,8682,25,1,tool_use
2026-04-05T23:17:06.706178+00:00,qwen/qwen3.6-plus:free,6058,2411,8469,23,1,tool_use
2026-04-10T14:10:46.176369+00:00,anthropic/claude-sonnet-4.6,8248,179,8427,5,2,tool_use
2026-04-10T06:50:25.804050+00:00,anthropic/claude-sonnet-4.6,8107,172,8279,11,0,end_turn
2026-04-10T06:50:19.922071+00:00,anthropic/claude-sonnet-4.6,7315,764,8079,9,1,tool_use
2026-04-12T19:06:52.049082+00:00,anthropic/claude-sonnet-4.6,7732,212,7944,7,0,end_turn
2026-04-10T14:59:59.893327+00:00,anthropic/claude-sonnet-4.6,7631,57,7688,13,1,tool_use
2026-04-06T08:16:38.791057+00:00,qwen/qwen3.6-plus:free,6723,939,7662,42,1,tool_use
2026-04-10T14:59:56.574412+00:00,anthropic/claude-sonnet-4.6,7533,73,7606,11,1,tool_use
2026-04-12T16:26:56.776099+00:00,anthropic/claude-sonnet-4.6,7538,49,7587,25,0,end_turn
2026-04-12T16:26:47.269328+00:00,anthropic/claude-sonnet-4.6,7537,29,7566,25,0,end_turn
2026-04-11T19:24:13.098075+00:00,anthropic/claude-sonnet-4.6,7500,64,7564,19,0,end_turn
2026-04-06T08:18:02.053533+00:00,qwen/qwen3.6-plus:free,5731,1790,7521,40,2,tool_use
2026-04-12T16:26:45.222378+00:00,anthropic/claude-sonnet-4.6,7422,93,7515,23,1,tool_use
